Bureau of Justice Statistics,,,,,,
Filename: p22stt18.csv,,,,,,
"Table 18. Sentenced prisoners in the custody of state correctional authorities and privately operated facilities contracted to states, by most serious offense and jurisdiction, December 31, 2021",,,,,,
Report title: Prisoners in 2022 – Statistical Tables   NCJ 307149,,,,,,
"Data source: Bureau of Justice Statistics, National Corrections Reporting Program, 2021",,,,,,
"Authors: E. Ann Carson, PhD, former BJS Statistician; and Rich Kluckow, DSW, BJS Statistician",,,,,,
Refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,
Date of version: 11/30/23,,,,,,
,,,,,,
"Table 18. Sentenced prisoners in the custody of state correctional authorities and privately operated facilities contracted to states, by most serious offense and jurisdiction, December 31, 2021",,,,,,
Jurisdiction,Total_number,Total,Violent,Property,Public order,Other/unspecified
Alabama,"21,413",100,61.3,16.1,7.8,1.1
Alaska,"2,156",100,82.1,11.5,4.3,#
Arizona,"40,753",100,43.8,20.8,12,0.2
Arkansas,"14,556",100,59.5,12.7,8.3,2.7
California,"100,305",100,81.7,7.7,7.8,0.1
Colorado,"15,773",100,64.7,16.9,11.3,0.2
Connecticut,"5,174",100,55.8,10.8,19.5,8.2
Delaware,"2,565",100,52.9,5.6,33.5,0.4
Florida,"78,740",100,61.4,17.3,9.5,0.5
Georgia,"46,687",100,68.8,12,8.7,0.2
Hawaii/b,"2,527",100,48.6,27.9,12.8,0.1
Idaho,"8,705",100,42.6,17.5,9.8,0.1
Illinois,"28,162",100,65.4,9.4,15.2,#
Indiana,"26,403",100,46.9,13.7,12.5,2.2
Iowa,"9,749",100,32.4,19.2,13.5,16.0
Kansas,"8,453",100,61.5,9.3,6.2,0.1
Kentucky,"18,682",100,43,19.3,12,0.1
Louisiana,"26,287",100,58.2,12.7,15.2,#
Maine,"1,526",100,55.1,13.4,5.6,1.5
Maryland,"15,309",100,73.6,8.7,8.2,0.1
Massachusetts,"6,623",100,72.5,5.7,6.2,0.6
Michigan,"39,670",100,61.1,15.8,13.2,0.3
Minnesota,"7,658",100,57.2,8.1,18.2,0.1
Mississippi,"16,873",100,55.5,18.7,7.3,1.2
Missouri,"23,432",100,58.5,16.6,8.1,#
Montana,"2,657",100,66.4,13.3,10.2,0.1
Nebraska,"5,195",100,54.2,12.9,16.8,0.6
Nevada,"10,045",100,48,13.8,30.4,1.4
New Hampshire,"2,015",100,58.3,14.7,9.3,0.1
New Jersey,"22,057",100,50.8,8.2,8.4,17.7
New Mexico,"7,086",100,53.4,20.1,10.1,0.2
New York,"30,339",100,61.2,13.5,14.2,0.5
North Carolina,"29,026",100,53.4,11.4,21.5,0.1
North Dakota,"1,788",100,50.8,15,9.3,0.1
Ohio,"44,411",100,59.4,12.2,12.5,1.1
Oklahoma,"21,239",100,62.1,15.2,11,0.3
Oregon,"12,042",100,71.9,14.1,7.6,0.4
Pennsylvania,"38,516",100,63,10.9,12.8,0.3
Rhode Island,"1,346",100,68,8.8,11.7,1.2
South Carolina,"15,904",100,59.9,18.5,3.8,0.7
South Dakota,"3,109",100,49.5,14.7,6,1.2
Tennessee,"26,513",100,51.4,18.4,7.2,1.6
Texas,"116,467",100,66.2,10.3,10.4,#
Utah,"5,865",100,60.7,15.4,10.1,0.1
Vermont/b,923,100,62.7,17.8,13,0.9
Virginia,"28,873",100,62.6,15.4,4.6,0.2
Washington,"13,399",100,67.6,12.9,14.5,0.3
West Virginia,"5,845",100,50,21.8,13.9,2.6
Wisconsin,"20,017",100,60.1,11,15.8,#
Wyoming,"2,126",100,57.1,14,7.9,0.1
"Note: Details may not sum to totals due to rounding and missing offense data. Unless otherwise noted, data represent prisoners in the physical custody of state correctional authorities, or those held for the state in privately operated prison facilities, on December 31, 2021. Percentages are based on prisoners with a sentence of more than 1 year. For prisoners convicted of more than one offense, BJS defines the most serious offense as the offense with the longest sentence. States can report up to three offenses in the National Corrections Reporting Program (NCRP) and are asked to single out the offense with the longest sentence. If they do not identify the offense with the longest sentence, BJS assumes an order of sentencing that prioritizes violent offenses, followed by property, drug, and public order offenses.",,,,,,
#Rounds to zero.,,,,,,
a/Includes prisoners with unknown offenses.,,,,,,
b/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,
"c/NCRP data are from December 31, 2018.",,,,,,
"d/NCRP data are from December 31, 2017.",,,,,,
"Source: Bureau of Justice Statistics, National Corrections Reporting Program, 2021.",,,,,,
